name,latitude,longitude
Cheesy Jade unicorn,52.45445964083738,4.635939364001738
decent pear ant,52.78232557925122,4.808910514421889
cuddly peach barracuda,53.21419657665552,6.572742700960119
short stone porcupine,53.2140629323449,6.561369648208671
wild iron quail,52.759474546404775,4.824897461339846
jovial ultraviolet stallion,52.77023373436501,4.997831600877234
Large Rainbow Wombat,52.62139063578851,5.014637374637322
huge frost bull,52.45696317695836,4.636722461962925
petite pineapple dragonfly,52.76989180104615,4.80442893542282
howling iron platypus,52.75327074598391,4.814399348653449
Energetic Licorice Giraffe,53.21957153756562,6.559087171619826
deep glossy chicken,52.823040089920326,4.898554795915774
silly pearl sidewinder,52.86387115753095,4.901411549734464
fierce scarlet bull,52.84917789666923,4.878716111206738
curly olive squid,53.22809686121506,5.492654852782834
radiant seaweed gerbil,52.87600189603914,4.828360460072845
Basic Fuchsia Shark,52.26764176963716,6.167486552076289
long fuzzy sealion,52.77955206646418,5.020879067446549
Careful Powder Cougar,53.2219491728988,6.568978674319656
Quiet brick mole,52.33997402966207,6.656601274507292
Chilly peanut bear,52.33841697416248,6.650320403126308
Brisk pebble whale,52.3401119881791,6.649416768586134
Bubbly Red Barbel,52.33726187316848,6.649465001693377
Brisk myrtle koala,52.64878667616279,5.042435102300247
Round paisley liger,52.65253372208243,5.040320129854482
mini marigold mammoth,52.65130080586344,5.038557442445364
Big viridian woodpecker,52.650915978774684,5.036070205468148
Melodic iris wasp,51.684897351965986,5.295013173299773
Blunt latte mouse,51.686642337913405,5.307374387345075
Oblong daffodil yeti,51.68565663493729,5.301860149062482
Strong teal ant,51.691548812651625,5.3032562129974945
fluffy ocean dachshund,51.90088543428139,5.436411757056813
expert cream tadpole,51.896597761380015,5.435590193468972
prehistoric rainbow pangolin,51.89997695257364,5.4318055038744415
mammoth licorice griffin,51.90671175020335,5.430564027561977
proper cyan raven,52.6827651547453,5.959236470769434
Glamorous Banana Grasshopper,52.680965898609074,5.965892695867389
Formal stone alpaca,50.86175254456307,6.0552018805108245
Slow ultraviolet Hippo,50.84919805637631,6.070791935760612
Sneaky amethyst pangolin,50.85137188982792,6.007995972672185
perfect latte caterpillar,50.85764695526962,6.005455977397571
Lively Latte Stallion,52.26938144209822,6.179029390900666
Uneven crepe mantis,52.26181474686983,6.18066330993585
Urban Coal alpaca,50.91833974525617,5.771291525543486
Small mustard falcon,50.92483827314542,5.780087080146979
Best daffodil Python,52.16657466640583,5.88846369413704
Energetic pebble pike,52.164593550002756,5.862677243135157
hot nylon beaver,52.17082367537083,5.949170873011634
real lace hornet,52.198443605153116,5.924433335028172
cheesy indigo oyster,52.18856587809328,5.9319873343470055
short smoke hawk,52.18514803954506,5.947764679128515
early mahogany fly,52.254597396347954,6.1605765539540425
atomic steel wolverine,52.254205338747944,6.167883528927031
quiet ivory python,52.24575112302152,6.192992514288419
